Group	Sub-group	Name	Sex	Cell type	Tissue	Cell line	Disease	Donor	Experiment	File type	Format	Analyis production	Size	MD5	URL
Bone marrow	Multiple myeloma	25386	Male	Plasma cell	Bone marrow		Multiple myeloma	25386	Bisulfite-Seq	Hypo-methylated regions	bigBed	CNAG	2.8M	14546f0440a4e04f41567a6603458a26	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/Bone_marrow/25386/Multiple_myeloma/Bisulfite-Seq/CNAG/G203.hypo_meth.bs_call.20140106.bb
Bone marrow	Multiple myeloma	25386	Male	Plasma cell	Bone marrow		Multiple myeloma	25386	Bisulfite-Seq	Hypo-methylated regions	BED	CNAG	9.5M	b113d2a49ab01f52f98ad11933b248c0	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/Bone_marrow/25386/Multiple_myeloma/Bisulfite-Seq/CNAG/G203.hypo_meth.bs_call.20140106.bed.gz
Bone marrow	hematopoietic multipotent progenitor cell	F2012-2912	Unknown	hematopoietic multipotent progenitor cell	Bone marrow		None	F2012-2912	Bisulfite-Seq	Methylation signal	bigWig	CNAG	122M	6ebe16f3588f10cc42a5a611ca4befed	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/Bone_marrow/F2012-2912/hematopoietic_multipotent_progenitor_cell/Bisulfite-Seq/CNAG/G199.CPG_methylation_calls.bs_call.20140106.bw
Bone marrow	hematopoietic multipotent progenitor cell	F2012-2912	Unknown	hematopoietic multipotent progenitor cell	Bone marrow		None	F2012-2912	Bisulfite-Seq	Std. Dev of methylation signal	bigWig	CNAG	150M	db85e22212ca3863b4c4b52b172253aa	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/Bone_marrow/F2012-2912/hematopoietic_multipotent_progenitor_cell/Bisulfite-Seq/CNAG/G199.CPG_methylation_sd.bs_call.20140106.bw
Bone marrow	hematopoietic multipotent progenitor cell	F2012-2912	Unknown	hematopoietic multipotent progenitor cell	Bone marrow		None	F2012-2912	Bisulfite-Seq	Hyper-methylated regions	bigBed	CNAG	5.0M	4c9ab6048477516756221cb408db0b72	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/Bone_marrow/F2012-2912/hematopoietic_multipotent_progenitor_cell/Bisulfite-Seq/CNAG/G199.hyper_meth.bs_call.20140106.bb
Bone marrow	hematopoietic multipotent progenitor cell	F2012-2912	Unknown	hematopoietic multipotent progenitor cell	Bone marrow		None	F2012-2912	Bisulfite-Seq	Hyper-methylated regions	BED	CNAG	20M	4ec3cb2aa66564979bc953283d7cab9d	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/Bone_marrow/F2012-2912/hematopoietic_multipotent_progenitor_cell/Bisulfite-Seq/CNAG/G199.hyper_meth.bs_call.20140106.bed.gz
Bone marrow	hematopoietic multipotent progenitor cell	F2012-2912	Unknown	hematopoietic multipotent progenitor cell	Bone marrow		None	F2012-2912	Bisulfite-Seq	Hypo-methylated regions	bigBed	CNAG	816K	61b83f38fa99d50028163ac64a5c81ef	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/Bone_marrow/F2012-2912/hematopoietic_multipotent_progenitor_cell/Bisulfite-Seq/CNAG/G199.hypo_meth.bs_call.20140106.bb
Bone marrow	hematopoietic multipotent progenitor cell	F2012-2912	Unknown	hematopoietic multipotent progenitor cell	Bone marrow		None	F2012-2912	Bisulfite-Seq	Hypo-methylated regions	BED	CNAG	4.7M	1f3395092af6f7a885f16341b7be1477	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/Bone_marrow/F2012-2912/hematopoietic_multipotent_progenitor_cell/Bisulfite-Seq/CNAG/G199.hypo_meth.bs_call.20140106.bed.gz
Bone marrow	precursor lymphocyte of B lineage	F2012-2912	Unknown	precursor lymphocyte of B lineage	Bone marrow		None	F2012-2912	Bisulfite-Seq	Methylation signal	bigWig	CNAG	128M	bc5898089fd64f0720d3e0cf760dbcae	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/Bone_marrow/F2012-2912/precursor_lymphocyte_of_B_lineage/Bisulfite-Seq/CNAG/G200.CPG_methylation_calls.bs_call.20140106.bw
Bone marrow	precursor lymphocyte of B lineage	F2012-2912	Unknown	precursor lymphocyte of B lineage	Bone marrow		None	F2012-2912	Bisulfite-Seq	Std. Dev of methylation signal	bigWig	CNAG	151M	2c3668ffdae3c0d189ce19b944ef6471	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/Bone_marrow/F2012-2912/precursor_lymphocyte_of_B_lineage/Bisulfite-Seq/CNAG/G200.CPG_methylation_sd.bs_call.20140106.bw
Bone marrow	precursor lymphocyte of B lineage	F2012-2912	Unknown	precursor lymphocyte of B lineage	Bone marrow		None	F2012-2912	Bisulfite-Seq	Hyper-methylated regions	bigBed	CNAG	5.2M	1d6af2af19728fadb3d10de2c4ccd64e	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/Bone_marrow/F2012-2912/precursor_lymphocyte_of_B_lineage/Bisulfite-Seq/CNAG/G200.hyper_meth.bs_call.20140106.bb
Bone marrow	precursor lymphocyte of B lineage	F2012-2912	Unknown	precursor lymphocyte of B lineage	Bone marrow		None	F2012-2912	Bisulfite-Seq	Hyper-methylated regions	BED	CNAG	21M	6ede19aec14cae3df9a27b7280753f7d	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/Bone_marrow/F2012-2912/precursor_lymphocyte_of_B_lineage/Bisulfite-Seq/CNAG/G200.hyper_meth.bs_call.20140106.bed.gz
Bone marrow	precursor lymphocyte of B lineage	F2012-2912	Unknown	precursor lymphocyte of B lineage	Bone marrow		None	F2012-2912	Bisulfite-Seq	Hypo-methylated regions	bigBed	CNAG	885K	fd73bf9f29901d1f61b0c610e5ae0082	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/Bone_marrow/F2012-2912/precursor_lymphocyte_of_B_lineage/Bisulfite-Seq/CNAG/G200.hypo_meth.bs_call.20140106.bb
Bone marrow	precursor lymphocyte of B lineage	F2012-2912	Unknown	precursor lymphocyte of B lineage	Bone marrow		None	F2012-2912	Bisulfite-Seq	Hypo-methylated regions	BED	CNAG	4.9M	d49f7da27adbed9012bcadd48353548d	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/Bone_marrow/F2012-2912/precursor_lymphocyte_of_B_lineage/Bisulfite-Seq/CNAG/G200.hypo_meth.bs_call.20140106.bed.gz
Bone marrow	Plasma cell	MO7071	Unknown	Plasma cell	Bone marrow		None	MO7071	Bisulfite-Seq	Methylation signal	bigWig	CNAG	131M	894acba403b821b0064a127887cf7743	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/Bone_marrow/MO7071/Plasma_cell/Bisulfite-Seq/CNAG/G202.CPG_methylation_calls.bs_call.20140106.bw
Bone marrow	Plasma cell	MO7071	Unknown	Plasma cell	Bone marrow		None	MO7071	Bisulfite-Seq	Std. Dev of methylation signal	bigWig	CNAG	138M	143b4cc76726512c88ff79259380cc7a	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/Bone_marrow/MO7071/Plasma_cell/Bisulfite-Seq/CNAG/G202.CPG_methylation_sd.bs_call.20140106.bw
Bone marrow	Plasma cell	MO7071	Unknown	Plasma cell	Bone marrow		None	MO7071	Bisulfite-Seq	Hyper-methylated regions	bigBed	CNAG	15M	03444134d0baa01e81b7b8481efce606	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/Bone_marrow/MO7071/Plasma_cell/Bisulfite-Seq/CNAG/G202.hyper_meth.bs_call.20140106.bb
Bone marrow	Plasma cell	MO7071	Unknown	Plasma cell	Bone marrow		None	MO7071	Bisulfite-Seq	Hyper-methylated regions	BED	CNAG	38M	83904f528073654dd770c8850902a226	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/Bone_marrow/MO7071/Plasma_cell/Bisulfite-Seq/CNAG/G202.hyper_meth.bs_call.20140106.bed.gz
Bone marrow	Plasma cell	MO7071	Unknown	Plasma cell	Bone marrow		None	MO7071	Bisulfite-Seq	Hypo-methylated regions	bigBed	CNAG	5.1M	6bd2d54a12d09c740e6c045a999d328a	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/Bone_marrow/MO7071/Plasma_cell/Bisulfite-Seq/CNAG/G202.hypo_meth.bs_call.20140106.bb
Bone marrow	Plasma cell	MO7071	Unknown	Plasma cell	Bone marrow		None	MO7071	Bisulfite-Seq	Hypo-methylated regions	BED	CNAG	13M	3789e9be305cf4fb3b80c5c35b7ea626	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/Bone_marrow/MO7071/Plasma_cell/Bisulfite-Seq/CNAG/G202.hypo_meth.bs_call.20140106.bed.gz
Bone marrow	Acute myeloid leukemia - CTR	pz 283	Male	Myeloid cell	Bone marrow		Acute myeloid leukemia	pz 283	H3K27me3	Enriched regions	bigBed	EMBL-EBI	722K	c8ccb3b89d62ca1e37c86856391c433b	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/Bone_marrow/pz_283/Acute_myeloid_leukemia_-_CTR/ChIP-Seq/NCMLS/S005CNH1.H3K27me3.ppqt_macs2_broad_v2.20130819.bb
Bone marrow	Acute myeloid leukemia - CTR	pz 283	Male	Myeloid cell	Bone marrow		Acute myeloid leukemia	pz 283	H3K27me3	Enriched regions	BED	EMBL-EBI	883K	f6336575e74a18a684bf1f83696627f5	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/Bone_marrow/pz_283/Acute_myeloid_leukemia_-_CTR/ChIP-Seq/NCMLS/S005CNH1.H3K27me3.ppqt_macs2_broad_v2.20130819.bed.gz
Bone marrow	Acute myeloid leukemia - CTR	pz 283	Male	Myeloid cell	Bone marrow		Acute myeloid leukemia	pz 283	H3K27me3	Enriched regions	Text	EMBL-EBI	1010K	4ada220e56d350542028d88c65e317ff	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/Bone_marrow/pz_283/Acute_myeloid_leukemia_-_CTR/ChIP-Seq/NCMLS/S005CNH1.H3K27me3.ppqt_macs2_broad_v2.20130819.xls.gz
Bone marrow	Acute myeloid leukemia - CTR	pz 283	Male	Myeloid cell	Bone marrow		Acute myeloid leukemia	pz 283	H3K27me3	Normalized signal	bigWig	EMBL-EBI	1.1G	6bf26059339007030b36486ce9bc869c	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/Bone_marrow/pz_283/Acute_myeloid_leukemia_-_CTR/ChIP-Seq/NCMLS/S005CNH1.H3K27me3.wiggler.20130819.bw
Bone marrow	Acute myeloid leukemia - CTR	pz 283	Male	Myeloid cell	Bone marrow		Acute myeloid leukemia	pz 283	H3K36me3	Enriched regions	bigBed	EMBL-EBI	985K	34126acaae68e92821546fa5658b59fd	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/Bone_marrow/pz_283/Acute_myeloid_leukemia_-_CTR/ChIP-Seq/NCMLS/S005CNH1.H3K36me3.ppqt_macs2_broad_v2.20140106.bb
Bone marrow	Acute myeloid leukemia - CTR	pz 283	Male	Myeloid cell	Bone marrow		Acute myeloid leukemia	pz 283	H3K36me3	Enriched regions	BED	EMBL-EBI	1.3M	953d49abb63b9b3b58cb4edf4715411d	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/Bone_marrow/pz_283/Acute_myeloid_leukemia_-_CTR/ChIP-Seq/NCMLS/S005CNH1.H3K36me3.ppqt_macs2_broad_v2.20140106.bed.gz
Bone marrow	Acute myeloid leukemia - CTR	pz 283	Male	Myeloid cell	Bone marrow		Acute myeloid leukemia	pz 283	H3K36me3	Enriched regions	Text	EMBL-EBI	1.5M	2c27b84058417bd86868dc0537eaf4fd	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/Bone_marrow/pz_283/Acute_myeloid_leukemia_-_CTR/ChIP-Seq/NCMLS/S005CNH1.H3K36me3.ppqt_macs2_broad_v2.20140106.xls.gz
Bone marrow	Acute myeloid leukemia - CTR	pz 283	Male	Myeloid cell	Bone marrow		Acute myeloid leukemia	pz 283	H3K36me3	Normalized signal	bigWig	EMBL-EBI	1.1G	8bfbcaf5a4ab43dd8b44431e941cd79f	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/Bone_marrow/pz_283/Acute_myeloid_leukemia_-_CTR/ChIP-Seq/NCMLS/S005CNH1.H3K36me3.wiggler.20140106.bw
Bone marrow	Acute myeloid leukemia - CTR	pz 283	Male	Myeloid cell	Bone marrow		Acute myeloid leukemia	pz 283	H3K4me3	Enriched regions	bigBed	EMBL-EBI	727K	d5a4cb872fb499483c9cf6b97ff207b8	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/Bone_marrow/pz_283/Acute_myeloid_leukemia_-_CTR/ChIP-Seq/NCMLS/S005CNH1.H3K4me3.ppqt_macs2_v2.20130819.bb
Bone marrow	Acute myeloid leukemia - CTR	pz 283	Male	Myeloid cell	Bone marrow		Acute myeloid leukemia	pz 283	H3K4me3	Enriched regions	BED	EMBL-EBI	760K	071b6ea5c6b44d6e760e75cab13ae0e3	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/Bone_marrow/pz_283/Acute_myeloid_leukemia_-_CTR/ChIP-Seq/NCMLS/S005CNH1.H3K4me3.ppqt_macs2_v2.20130819.bed.gz
Bone marrow	Acute myeloid leukemia - CTR	pz 283	Male	Myeloid cell	Bone marrow		Acute myeloid leukemia	pz 283	H3K4me3	Enriched regions	Text	EMBL-EBI	874K	98802dc3fdbc954c4381648b9e4d5f06	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/Bone_marrow/pz_283/Acute_myeloid_leukemia_-_CTR/ChIP-Seq/NCMLS/S005CNH1.H3K4me3.ppqt_macs2_v2.20130819.xls.gz
Bone marrow	Acute myeloid leukemia - CTR	pz 283	Male	Myeloid cell	Bone marrow		Acute myeloid leukemia	pz 283	H3K4me3	Normalized signal	bigWig	EMBL-EBI	1.1G	14e3b05cec6eec82748f662805b7f235	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/Bone_marrow/pz_283/Acute_myeloid_leukemia_-_CTR/ChIP-Seq/NCMLS/S005CNH1.H3K4me3.wiggler.20130819.bw
Bone marrow	Acute myeloid leukemia - CTR	pz 283	Male	Myeloid cell	Bone marrow		Acute myeloid leukemia	pz 283	ChIP Input	Normalized signal	bigWig	EMBL-EBI	1.1G	6083ba83b9f4f6963dff2ec9fc0d1b16	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/Bone_marrow/pz_283/Acute_myeloid_leukemia_-_CTR/ChIP-Seq/NCMLS/S005CNH1.Input.wiggler.20130819.bw
Bone marrow	Acute myeloid leukemia - SAHA	pz 283	Male	Myeloid cell	Bone marrow		Acute myeloid leukemia	pz 283	H3K27ac	Enriched regions	bigBed	EMBL-EBI	2.0M	9122d938e86cb7cf672bb0c63bb555be	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/Bone_marrow/pz_283/Acute_myeloid_leukemia_-_SAHA/ChIP-Seq/NCMLS/S005DLH1.H3K27ac.ppqt_macs2_v2.20130819.bb
Bone marrow	Acute myeloid leukemia - SAHA	pz 283	Male	Myeloid cell	Bone marrow		Acute myeloid leukemia	pz 283	H3K27ac	Enriched regions	BED	EMBL-EBI	1.9M	1b84e3dd1b2913ebe530fb46cfe0d6a2	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/Bone_marrow/pz_283/Acute_myeloid_leukemia_-_SAHA/ChIP-Seq/NCMLS/S005DLH1.H3K27ac.ppqt_macs2_v2.20130819.bed.gz
Bone marrow	Acute myeloid leukemia - SAHA	pz 283	Male	Myeloid cell	Bone marrow		Acute myeloid leukemia	pz 283	H3K27ac	Enriched regions	Text	EMBL-EBI	2.2M	7061954ecf2fe4fdd173d789252f194b	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/Bone_marrow/pz_283/Acute_myeloid_leukemia_-_SAHA/ChIP-Seq/NCMLS/S005DLH1.H3K27ac.ppqt_macs2_v2.20130819.xls.gz
Bone marrow	Acute myeloid leukemia - SAHA	pz 283	Male	Myeloid cell	Bone marrow		Acute myeloid leukemia	pz 283	H3K27ac	Normalized signal	bigWig	EMBL-EBI	1.1G	fbc6c1cdeabadd0032a29419b2ea925f	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/Bone_marrow/pz_283/Acute_myeloid_leukemia_-_SAHA/ChIP-Seq/NCMLS/S005DLH1.H3K27ac.wiggler.20130819.bw
Bone marrow	Acute myeloid leukemia - SAHA	pz 283	Male	Myeloid cell	Bone marrow		Acute myeloid leukemia	pz 283	H3K27me3	Enriched regions	bigBed	EMBL-EBI	708K	2248d13a05dbaa6c8b6ed6d2887557f3	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/Bone_marrow/pz_283/Acute_myeloid_leukemia_-_SAHA/ChIP-Seq/NCMLS/S005DLH1.H3K27me3.ppqt_macs2_broad_v2.20130819.bb
Bone marrow	Acute myeloid leukemia - SAHA	pz 283	Male	Myeloid cell	Bone marrow		Acute myeloid leukemia	pz 283	H3K27me3	Enriched regions	BED	EMBL-EBI	858K	a1c4acd9e1bd971df3886d40da397877	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/Bone_marrow/pz_283/Acute_myeloid_leukemia_-_SAHA/ChIP-Seq/NCMLS/S005DLH1.H3K27me3.ppqt_macs2_broad_v2.20130819.bed.gz
Bone marrow	Acute myeloid leukemia - SAHA	pz 283	Male	Myeloid cell	Bone marrow		Acute myeloid leukemia	pz 283	H3K27me3	Enriched regions	Text	EMBL-EBI	986K	296836e0f77d01fe6316b009dcb0fbf6	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/Bone_marrow/pz_283/Acute_myeloid_leukemia_-_SAHA/ChIP-Seq/NCMLS/S005DLH1.H3K27me3.ppqt_macs2_broad_v2.20130819.xls.gz
Bone marrow	Acute myeloid leukemia - SAHA	pz 283	Male	Myeloid cell	Bone marrow		Acute myeloid leukemia	pz 283	H3K27me3	Normalized signal	bigWig	EMBL-EBI	1.1G	da84fb54984b33d564bf1ead4e8f4d79	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/Bone_marrow/pz_283/Acute_myeloid_leukemia_-_SAHA/ChIP-Seq/NCMLS/S005DLH1.H3K27me3.wiggler.20130819.bw
Bone marrow	Acute myeloid leukemia - SAHA	pz 283	Male	Myeloid cell	Bone marrow		Acute myeloid leukemia	pz 283	H3K36me3	Enriched regions	bigBed	EMBL-EBI	470K	e957c928f9126189ce6092131ac8f605	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/Bone_marrow/pz_283/Acute_myeloid_leukemia_-_SAHA/ChIP-Seq/NCMLS/S005DLH1.H3K36me3.ppqt_macs2_broad_v2.20140106.bb
Bone marrow	Acute myeloid leukemia - SAHA	pz 283	Male	Myeloid cell	Bone marrow		Acute myeloid leukemia	pz 283	H3K36me3	Enriched regions	BED	EMBL-EBI	552K	a7543225d6006134d86ccd22e2506a23	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/Bone_marrow/pz_283/Acute_myeloid_leukemia_-_SAHA/ChIP-Seq/NCMLS/S005DLH1.H3K36me3.ppqt_macs2_broad_v2.20140106.bed.gz
Bone marrow	Acute myeloid leukemia - SAHA	pz 283	Male	Myeloid cell	Bone marrow		Acute myeloid leukemia	pz 283	H3K36me3	Enriched regions	Text	EMBL-EBI	633K	510663460dc5ca6ee84f0cd212d50277	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/Bone_marrow/pz_283/Acute_myeloid_leukemia_-_SAHA/ChIP-Seq/NCMLS/S005DLH1.H3K36me3.ppqt_macs2_broad_v2.20140106.xls.gz
Bone marrow	Acute myeloid leukemia - SAHA	pz 283	Male	Myeloid cell	Bone marrow		Acute myeloid leukemia	pz 283	H3K36me3	Normalized signal	bigWig	EMBL-EBI	1.2G	79330fb85972d7aab44c9a5cc5cd587c	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/Bone_marrow/pz_283/Acute_myeloid_leukemia_-_SAHA/ChIP-Seq/NCMLS/S005DLH1.H3K36me3.wiggler.20140106.bw
Bone marrow	Acute promyelocytic leukemia - ATRA	pz 284	Female	Myeloid cell	Bone marrow		Acute promyelocytic leukemia	pz 284	Bisulfite-Seq	Methylation signal	bigWig	CNAG	106M	b4312b3e6335fb1343ff07cf668e23e0	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/Bone_marrow/pz_284/Acute_promyelocytic_leukemia_-_ATRA/Bisulfite-Seq/CNAG/S0050AA1.CPG_methylation_calls.bs_call.20140106.bw
Bone marrow	Acute promyelocytic leukemia - ATRA	pz 284	Female	Myeloid cell	Bone marrow		Acute promyelocytic leukemia	pz 284	Bisulfite-Seq	Std. Dev of methylation signal	bigWig	CNAG	131M	3e6810b32724612498f04b8221cbae83	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/Bone_marrow/pz_284/Acute_promyelocytic_leukemia_-_ATRA/Bisulfite-Seq/CNAG/S0050AA1.CPG_methylation_sd.bs_call.20140106.bw
Bone marrow	Acute promyelocytic leukemia - ATRA	pz 284	Female	Myeloid cell	Bone marrow		Acute promyelocytic leukemia	pz 284	Bisulfite-Seq	Hyper-methylated regions	bigBed	CNAG	7.2M	3a0a929f3663d2d02b5d2ceed5cbe73f	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/Bone_marrow/pz_284/Acute_promyelocytic_leukemia_-_ATRA/Bisulfite-Seq/CNAG/S0050AA1.hyper_meth.bs_call.20140106.bb
Bone marrow	Acute promyelocytic leukemia - ATRA	pz 284	Female	Myeloid cell	Bone marrow		Acute promyelocytic leukemia	pz 284	Bisulfite-Seq	Hyper-methylated regions	BED	CNAG	24M	9d3019b9e7c61e2bed5a31eb29b6da8a	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/Bone_marrow/pz_284/Acute_promyelocytic_leukemia_-_ATRA/Bisulfite-Seq/CNAG/S0050AA1.hyper_meth.bs_call.20140106.bed.gz
Bone marrow	Acute promyelocytic leukemia - ATRA	pz 284	Female	Myeloid cell	Bone marrow		Acute promyelocytic leukemia	pz 284	Bisulfite-Seq	Hypo-methylated regions	bigBed	CNAG	1.1M	aaced03a259d40b1c9d136af85e8c124	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/Bone_marrow/pz_284/Acute_promyelocytic_leukemia_-_ATRA/Bisulfite-Seq/CNAG/S0050AA1.hypo_meth.bs_call.20140106.bb
Bone marrow	Acute promyelocytic leukemia - ATRA	pz 284	Female	Myeloid cell	Bone marrow		Acute promyelocytic leukemia	pz 284	Bisulfite-Seq	Hypo-methylated regions	BED	CNAG	5.0M	8775e4a72ac4eac32f97847535f33799	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/Bone_marrow/pz_284/Acute_promyelocytic_leukemia_-_ATRA/Bisulfite-Seq/CNAG/S0050AA1.hypo_meth.bs_call.20140106.bed.gz
